league,split,date,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
EULCS,2018-2,43274.49209,2,2,Blue,Top,Wunder,G2 Esports,Aatrox,Ryze,Zilean,Camille,Fiddlesticks,Rakan,1
EULCS,2018-2,43274.49209,2,2,Blue,Jungle,Jankos,G2 Esports,Braum,Ryze,Zilean,Camille,Fiddlesticks,Rakan,1
EULCS,2018-2,43274.49209,2,2,Blue,Middle,Perkz,G2 Esports,Lucian,Ryze,Zilean,Camille,Fiddlesticks,Rakan,1
EULCS,2018-2,43274.49209,2,2,Blue,ADC,Hjarnan,G2 Esports,Karma,Ryze,Zilean,Camille,Fiddlesticks,Rakan,1
EULCS,2018-2,43274.49209,2,2,Blue,Support,Wadid,G2 Esports,Alistar,Ryze,Zilean,Camille,Fiddlesticks,Rakan,1
EULCS,2018-2,43274.49209,2,2,Red,Top,Smittyj,H2K,Jax,Heimerdinger,Taliyah,Nocturne,Irelia,Zoe,0
EULCS,2018-2,43274.49209,2,2,Red,Jungle,Shook,H2K,Lee Sin,Heimerdinger,Taliyah,Nocturne,Irelia,Zoe,0
EULCS,2018-2,43274.49209,2,2,Red,Middle,Selfie,H2K,Vladimir,Heimerdinger,Taliyah,Nocturne,Irelia,Zoe,0
EULCS,2018-2,43274.49209,2,2,Red,ADC,Sheriff,H2K,Kai'Sa,Heimerdinger,Taliyah,Nocturne,Irelia,Zoe,0
EULCS,2018-2,43274.49209,2,2,Red,Support,promisq,H2K,Morgana,Heimerdinger,Taliyah,Nocturne,Irelia,Zoe,0
EULCS,2018-2,43274.49209,2,2,Blue,Team,Team,G2 Esports, ,Ryze,Zilean,Camille,Fiddlesticks,Rakan,1
EULCS,2018-2,43274.49209,2,2,Red,Team,Team,H2K, ,Heimerdinger,Taliyah,Nocturne,Irelia,Zoe,0
LCK,2018-2,43263.10506,1.1,1,Blue,Top,Crazy,BBQ Olivers,Shen,Nocturne,Camille,Irelia,Vladimir,Swain,0
LCK,2018-2,43263.10506,1.1,1,Blue,Jungle,Bono,BBQ Olivers,Nunu,Nocturne,Camille,Irelia,Vladimir,Swain,0
LCK,2018-2,43263.10506,1.1,1,Blue,Middle,Tempt,BBQ Olivers,Karthus,Nocturne,Camille,Irelia,Vladimir,Swain,0
LCK,2018-2,43263.10506,1.1,1,Blue,ADC,Aries,BBQ Olivers,Lucian,Nocturne,Camille,Irelia,Vladimir,Swain,0
LCK,2018-2,43263.10506,1.1,1,Blue,Support,IgNar,BBQ Olivers,Gragas,Nocturne,Camille,Irelia,Vladimir,Swain,0
LCK,2018-2,43263.10506,1.1,1,Red,Top,ADD,MVP,Ornn,Rakan,Taliyah,Graves,Alistar,Pyke,1
LCK,2018-2,43263.10506,1.1,1,Red,Jungle,Yondu,MVP,Master Yi,Rakan,Taliyah,Graves,Alistar,Pyke,1
LCK,2018-2,43263.10506,1.1,1,Red,Middle,Ian,MVP,Taric,Rakan,Taliyah,Graves,Alistar,Pyke,1
LCK,2018-2,43263.10506,1.1,1,Red,ADC,Pilot,MVP,Lulu,Rakan,Taliyah,Graves,Alistar,Pyke,1
LCK,2018-2,43263.10506,1.1,1,Red,Support,Max,MVP,Fiddlesticks,Rakan,Taliyah,Graves,Alistar,Pyke,1
LCK,2018-2,43263.10506,1.1,1,Blue,Team,Team,BBQ Olivers, ,Nocturne,Camille,Irelia,Vladimir,Swain,0
