league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
EULCS,2018-2,2,2,Blue,Team,Team,G2 Esports, ,Ryze,Zilean,Camille,Fiddlesticks,Rakan,1
EULCS,2018-2,2,2,Red,Team,Team,H2K, ,Heimerdinger,Taliyah,Nocturne,Irelia,Zoe,0
LCK,2018-2,1.1,1,Blue,Team,Team,BBQ Olivers, ,Nocturne,Camille,Irelia,Vladimir,Swain,0
LCK,2018-2,1.1,1,Red,Team,Team,MVP, ,Rakan,Taliyah,Graves,Alistar,Pyke,1
LCK,2018-2,1.1,2,Blue,Team,Team,MVP, ,Morgana,Yasuo,Nunu,Graves,Olaf,1
LCK,2018-2,1.1,2,Red,Team,Team,BBQ Olivers, ,Taliyah,Master Yi,Camille,Nocturne,Shen,0
LCK,2018-2,1.1,1,Blue,Team,Team,Griffin, ,Alistar,Irelia,Skarner,Gragas,Soraka,0
LCK,2018-2,1.1,1,Red,Team,Team,Hanwha Life Esports, ,Pyke,Taliyah,Taric,Kennen,Lucian,1
LCK,2018-2,1.1,2,Blue,Team,Team,Hanwha Life Esports, ,Taric,Pyke,Taliyah,Karthus,Darius,0
LCK,2018-2,1.1,2,Red,Team,Team,Griffin, ,Fiddlesticks,Camille,Rakan,Gragas,Alistar,1
LCK,2018-2,1.1,3,Blue,Team,Team,Griffin, ,Alistar,Lucian,Skarner,Fiddlesticks,Lulu,1
LCK,2018-2,1.1,3,Red,Team,Team,Hanwha Life Esports, ,Taliyah,Pyke,Taric,Soraka,Shen,0
LCK,2018-2,1.2,1,Blue,Team,Team,Kingzone DragonX, ,Graves,Vladimir,Shen,Tahm Kench,Morgana,1
LCK,2018-2,1.2,1,Red,Team,Team,Gen.G, ,Taliyah,Irelia,Lucian,Camille,Gangplank,0
LCK,2018-2,1.2,2,Blue,Team,Team,Gen.G, ,Zoe,Irelia,Lucian,Jayce,Ornn,1
LCK,2018-2,1.2,2,Red,Team,Team,Kingzone DragonX, ,Graves,Taliyah,Master Yi,Kog'Maw,Kai'Sa,0
LCK,2018-2,1.2,3,Blue,Team,Team,Kingzone DragonX, ,Lulu,Master Yi,Camille,Karma,Lissandra,0
LCK,2018-2,1.2,3,Red,Team,Team,Gen.G, ,Taliyah,Zoe,Irelia,Jayce,Darius,1
LCK,2018-2,1.2,1,Blue,Team,Team,Afreeca Freecs, ,Morgana,Ezreal,Irelia,Camille,Xin Zhao,1
LCK,2018-2,1.2,1,Red,Team,Team,SK Telecom T1, ,Taliyah,Taric,Karthus,Jayce,Zoe,0
LCK,2018-2,1.2,2,Blue,Team,Team,SK Telecom T1, ,Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks,0
LCK,2018-2,1.2,2,Red,Team,Team,Afreeca Freecs, ,Irelia,Ezreal,Camille,Renekton,LeBlanc,1
LCK,2018-2,1.2,1,Blue,Team,Team,KT Rolster, ,Vladimir,Irelia,Rakan,Ornn,Lulu,1
LCK,2018-2,1.2,1,Red,Team,Team,Jin Air Green Wings, ,Taliyah,Camille,Master Yi,Ezreal,Gangplank,0
LCK,2018-2,1.2,2,Blue,Team,Team,Jin Air Green Wings, ,Graves,Camille,Zoe,Renekton,Shen,0
LCK,2018-2,1.2,2,Red,Team,Team,KT Rolster, ,Taliyah,Vladimir,Rakan,Ezreal,Lucian,1
LCK,2018-2,1.3,1,Blue,Team,Team,Hanwha Life Esports, ,Lucian,Master Yi,Lulu,Olaf,Graves,1
LCK,2018-2,1.3,1,Red,Team,Team,BBQ Olivers, ,Yasuo,Irelia,Alistar,Soraka,Fiddlesticks,0
LCK,2018-2,1.3,2,Blue,Team,Team,BBQ Olivers, ,Irelia,Yasuo,Nocturne,Tahm Kench,Graves,0
LCK,2018-2,1.3,2,Red,Team,Team,Hanwha Life Esports, ,Taliyah,Master Yi,Zoe,Kennen,Pyke,1
LCK,2018-2,1.3,1,Blue,Team,Team,MVP, ,Shen,Taliyah,Master Yi,Soraka,Rakan,0
LCK,2018-2,1.3,1,Red,Team,Team,Griffin, ,Lucian,Irelia,Fiddlesticks,Skarner,Morgana,1
LCK,2018-2,1.3,2,Blue,Team,Team,Griffin, ,Singed,Alistar,Master Yi,Fiddlesticks,Ornn,1
LCK,2018-2,1.3,2,Red,Team,Team,MVP, ,Shen,Taliyah,Irelia,Soraka,Rakan,0
EULCS,2018-2,1,1,Blue,Team,Team,Splyce, ,Ryze,Taric,Vladimir,Kog'Maw,Lucian,0
EULCS,2018-2,1,1,Red,Team,Team,Vitality, ,Taliyah,Lulu,Ornn,Pyke,Camille,1
EULCS,2018-2,1,1,Blue,Team,Team,H2K, ,Ryze,Graves,Vladimir,Shen,Aatrox,0
EULCS,2018-2,1,1,Red,Team,Team,Giants Gaming, ,Taric,Irelia,Lulu,Mordekaiser,Draven,1
EULCS,2018-2,1,1,Blue,Team,Team,Schalke 04, ,Vladimir,Ornn,Taric,Alistar,Rakan,1
EULCS,2018-2,1,1,Red,Team,Team,Unicorns of Love, ,Zoe,Lulu,Irelia,Ryze,Fizz,0
EULCS,2018-2,1,1,Blue,Team,Team,G2 Esports, ,Vladimir,Camille,Lulu,Skarner,Nocturne,1
EULCS,2018-2,1,1,Red,Team,Team,Roccat, ,Irelia,Taliyah,Taric,Aatrox,Ezreal,0
EULCS,2018-2,1,1,Blue,Team,Team,Fnatic, ,Zoe,Yasuo,Taliyah,Fiddlesticks,Vladimir,0
EULCS,2018-2,1,1,Red,Team,Team,Misfits, ,Irelia,Braum,Ornn,Karma,Master Yi,1
LCK,2018-2,1.4,1,Blue,Team,Team,Jin Air Green Wings, ,Shen,Irelia,Camille,Darius,Morgana,1
LCK,2018-2,1.4,1,Red,Team,Team,Kingzone DragonX, ,Vladimir,Master Yi,Taliyah,Soraka,Tahm Kench,0
LCK,2018-2,1.4,2,Blue,Team,Team,Kingzone DragonX, ,Vladimir,Shen,Nocturne,Lucian,Rakan,1
LCK,2018-2,1.4,2,Red,Team,Team,Jin Air Green Wings, ,Taliyah,Camille,Zoe,Darius,Alistar,0
LCK,2018-2,1.4,3,Blue,Team,Team,Jin Air Green Wings, ,Irelia,Shen,Zoe,Morgana,Ezreal,0
LCK,2018-2,1.4,3,Red,Team,Team,Kingzone DragonX, ,Vladimir,Master Yi,Braum,Xayah,Ashe,1
LCK,2018-2,1.4,1,Blue,Team,Team,Gen.G, ,Irelia,Yasuo,Nocturne,Darius,Morgana,1
LCK,2018-2,1.4,1,Red,Team,Team,SK Telecom T1, ,Camille,Taliyah,Shen,Lucian,Singed,0
LCK,2018-2,1.4,2,Blue,Team,Team,SK Telecom T1, ,Rakan,Zoe,Taliyah,Ryze,Singed,0
LCK,2018-2,1.4,2,Red,Team,Team,Gen.G, ,Irelia,Yasuo,Lulu,Darius,Dr. Mundo,1
EULCS,2018-2,1,2,Blue,Team,Team,Roccat, ,Ryze,Taric,Darius,Aatrox,Dr. Mundo,1
EULCS,2018-2,1,2,Red,Team,Team,H2K, ,Zoe,Taliyah,Irelia,Soraka,Morgana,0
EULCS,2018-2,1,2,Blue,Team,Team,Misfits, ,Vladimir,Yasuo,Rakan,Gangplank,Ezreal,1
EULCS,2018-2,1,2,Red,Team,Team,Unicorns of Love, ,Zoe,Irelia,Morgana,Zyra,Tahm Kench,0
EULCS,2018-2,1,2,Blue,Team,Team,Vitality, ,Braum,Vladimir,Taric,Dr. Mundo,Darius,1
EULCS,2018-2,1,2,Red,Team,Team,Giants Gaming, ,Zoe,Irelia,Aatrox,Heimerdinger,Thresh,0
EULCS,2018-2,1,2,Blue,Team,Team,Fnatic, ,Zoe,Lulu,Irelia,Pyke,Lucian,1
EULCS,2018-2,1,2,Red,Team,Team,Schalke 04, ,Ornn,Taric,Braum,Dr. Mundo,Fiddlesticks,0
EULCS,2018-2,1,2,Blue,Team,Team,G2 Esports, ,Vladimir,Camille,Lulu,Ryze,Cassiopeia,1
EULCS,2018-2,1,2,Red,Team,Team,Splyce, ,Taliyah,Zoe,Irelia,Pyke,Dr. Mundo,0
NALCS,2018-2,1,1,Blue,Team,Team,Team Liquid, ,Morgana,Brand,Zoe,Alistar,Ornn,1
NALCS,2018-2,1,1,Red,Team,Team,100 Thieves, ,Lucian,Taliyah,Ezreal,Lulu,Singed,0
NALCS,2018-2,1,1,Blue,Team,Team,Team SoloMid, ,Morgana,Taliyah,Rakan,Lulu,Trundle,1
NALCS,2018-2,1,1,Red,Team,Team,Counter Logic Gaming, ,Zoe,Yasuo,Taric,Dr. Mundo,Vladimir,0
NALCS,2018-2,1,1,Blue,Team,Team,Clutch Gaming, ,Taric,Braum,Irelia,Leona,Alistar,1
NALCS,2018-2,1,1,Red,Team,Team,Cloud9, ,Taliyah,Lucian,Yasuo,Syndra,Ezreal,0
NALCS,2018-2,1,1,Blue,Team,Team,Golden Guardians, ,Renekton,Taric,Darius,Camille,Karthus,0
NALCS,2018-2,1,1,Red,Team,Team,OpTic Gaming, ,Taliyah,Zoe,Irelia,Aatrox,Singed,1
LCK,2018-2,1.5,1,Blue,Team,Team,Afreeca Freecs, ,Irelia,Alistar,Xin Zhao,Dr. Mundo,Ornn,1
LCK,2018-2,1.5,1,Red,Team,Team,KT Rolster, ,Taliyah,Vladimir,Nocturne,Tahm Kench,Rakan,0
LCK,2018-2,1.5,2,Blue,Team,Team,KT Rolster, ,Shen,Vladimir,Anivia,Yasuo,Darius,1
LCK,2018-2,1.5,2,Red,Team,Team,Afreeca Freecs, ,Taliyah,Lucian,Ezreal,Dr. Mundo,Jayce,0
LCK,2018-2,1.5,3,Blue,Team,Team,Afreeca Freecs, ,Irelia,Xin Zhao,Swain,Dr. Mundo,Lucian,1
LCK,2018-2,1.5,3,Red,Team,Team,KT Rolster, ,Vladimir,Taliyah,Rakan,Anivia,Alistar,0
